Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
Maison de la Formation et du Développement Economique	Située à proximité du centre-ville de Clamecy (Département de la Nièvre, Région Bourgogne Franche-Comté), la Maison de la Formation et du Développement Economique est un lieu ressource pour les entreprises, les travailleurs indépendants, les entrepreneurs et plus généralement les actifs. Dans un lieu unique sont regroupés des services liés à l'insertion, la formation, l'emploi et au développement de l'économie.Doté d'un FabLab, implanté au cœur d'un parc arboré, ce centre de ressources vous propose en particulier des bureaux et salles de réunions équipés, disponibles en toute flexibilité ! Les bureaux sont proposés à partir de 18€ par demi-journée et 33€ par journée.Des salles de réunions et de visioconférence sont également disponibles à partir de 30€ la demi-journée.Chaque espace de travail offre une qualité de services professionnelle :•Bureaux privatifs,•Connexion à internet haut débit sur fibre optique,•L'accès à une imprimante multifonction,•Un tarif unique à l'heure, à la journée, à la semaine incluant le wifi, la téléphonie, un rangement sécurisé, un accès libre 7j/7j et 24h/24h,•La mise à disposition d'équipements: chevalet, vidéoprojecteur, matériels informatiques : écran, clavier, souris, câbles, etc.Pour les entrepreneurs et les créateurs, des services spécifiques sont proposés :•Un conseil à la création et à la reprise d’entreprise,•Un accompagnement au développement de son activité,•Un service de domiciliation d’entreprise,•L’intégration dans les réseaux professionnels,•Un accompagnement à la mobilité géographique ou à la mobilité professionnelle.	10-12 Rue de Druyes, 58500 Clamecy	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3845/centre-d-affaires-clamecy-maison-de-la-formation-et-du-developpement-economique	Internet haut débit//Accès handicapé//Une personne à l'accueil	8h30 - 17h00	Centre d'affaires	1000	66	Non	Oui	Rangements sécurisés//Paperboard//Téléphones fixe//Vidéo projecteur//Accès 24/7//Impression / copie 0.5€/unité
Le Hub Coworking	2 Espaces partagés//1 Bureau	4 rue Gambetta, 37000 Tours	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6531/coworking-tours-le-hub-coworking	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 19h00	Coworking	270	262	Non	Oui	Imprimante & scanner
Multiburo Tours	C’est depuis maintenant 23 ans que notre centre vous propose des services immobiliers de qualité. Etablit au cœur de la Vallée des Rois, le centre de Tours profite d’un cadre idéal pour installer votre entreprise.Que vous soyez une start-up ou un grand groupe industriel, nous vous offrons des solutions immobilières flexibles et sur mesure adaptées à chaque besoin. Notre centre est idéalement situé à 2 minutes de l’autoroute A10, à 5 minutes de la gare TGV et à 15 minutes de l’aéroport.Nous vous proposons une gamme complète de services comprenant la location de bureaux équipés, de salles de réunion et d’espaces de coworking ainsi qu’un grand parking gratuit. Des forfaits de domiciliation d’entreprise, de secrétariat, de permanence téléphonique personnalisée sont également à votre disposition.	39, rue des Granges Galand, 37550 Saint Avertin	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8669/centre-d-affaires-saint-avertin-multiburo-tours	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	9h00 - 18h00	Centre d'affaires		1	Non	Oui	
HOTEL KYRIAD - LE CREUSOT - MONTCHANIN	Bonjour Mesdames, Messieurs,Notre établissement propose plusieurs espaces / salons de travail modulables en fonction de vos besoins, équipés de la wifi haut débit, de vidéo projecteur & de paperboards, n'hésitez pas à nous solliciter pour plus de renseignements !Au plaisir de collaborer avec vous très prochainement !	56 Route du pont jeanne rose, 71210 Montchanin	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8021/hotel-montchanin-hotel-kyriad-le-creusot-montchanin	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	6h00 - 0h	Hôtel	180	130	Oui	Oui	Chemise & stylo//Sonorisation//Parking//Paperboards//Video-projecteur//Ecran//Dejeuner 22.73€/unité//Pause matinée ou apres-midi 2.72€/unité//Cafe accueil 4.55€/unité
Locow	1 Espace partagé//3 Bureaux	82 rue Victor Hugo, 71000 Mâcon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7367/coworking-macon-locow	Internet haut débit//Une personne à l'accueil//Espace pause//Cuisine	8h00 - 18h00	Coworking	207	147	Non	Oui	Scanner//Scanner//Tableaux blanc//Tableaux//Video projecteur//Pt'it déjeuner 4.5€/unité//Casier 5€/mois//Casier 5€/mois//Imprimante 0.4€/unité//Emplacement parking 3€/heure
HB Espace Business : Centre d'affaires	HB ESPACE BUSINESS EST UN CENTRE D’AFFAIRES EN PLEIN COEUR DE TOURS. UN ESPACE DÉDIÉ DE 500 M² OFFRE UN CADRE DE TRAVAIL DES PLUS AGRÉABLE, DANS UNE AMBIANCE CONVIVIALE ET RESPECTUEUSE.CES SERVICES SONT ADAPTÉS AUX ENTREPRISES, AUTO-ENTREPRENEURS, ARTISANS, PROFESSIONS LIBÉRALES, ORGANISMES DE FORMATION, ET ASSOCIATIONS.	58 rue George Sand, 37000 Tours	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3757/centre-d-affaires-tours-hb-espace-business-centre-d-affaires	Internet haut débit//Espace pause//Cuisine	9h00 - 18h00	Centre d'affaires	500	89	Non	Oui	Espace café / lounge//Mise à disposition d'ordinateur//Paperboard//Téléphones fixe//Vidéo projecteur//Accueil dédié//Gestion du courrier//Accès 24/7//Domiciliation 35€/unité
Cowork Impulse	L'espace coworking des Impulsés est un espace de travail partagé lumineux et convivial de plus de 300 m² qui propose :- une salle de travail en open space, - des bureaux privatifs, - des salles de réunion, - une cuisine équipée, - une salle de détente, - une ligne internet fibrée- un parking dédié, - du stockage (avenir), - de nombreuses possibilités en évènementiel et des surprises !Situé sur la nouvelle déviation du Puy-en-Velay, gain de temps garanti : exit la circulation et l'horodateur !Bienvenue à vous !	91 rue JA Cubizolle | ZA Taulhac, 43000 LE PUY-EN-VELAY	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4660/coworking-le-puy-en-velay-cowork-impulse	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 17h30	Coworking	300	66	Non	Oui	Pause café//Casier//Paperboard//Parking cowork//Tableau blanc//Tableaux//Vidéoprojecteur//Vidéo-projecteur//Équipement de cuisine//Formation//Gestion du courrier//Gestion du courrier//Mise en place de la salle//Mise en place de la salle//Impression / copie 0.04€/unité 0.1€/unité//Photocopieur 0.04€/unité 0.1€/unité//Parking 1€/unité//Domiciliation 30€/mois//Domiciliation 29€/unité
Annexx Saint Etienne	Annexx Saint Etienne propose aux professionnelsune salle de réunion pouvant accueillir 8 à 10 personnes, toute équipée. La salle dispose d'un accès individuel : vous n'êtes pas obligé de passer par les locaux et les bureaux d'Annexx pour accéder à la salle de réunion. Les entreprises peuvent utiliser le parking mis à disposition pour se garer en toute sécurité.	36 rue Victor Grignard, 42000 Saint Etienne	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5152/centre-d-affaires-saint-etienne-annexx-saint-etienne	Internet haut débit	9h00 - 18h00	Centre d'affaires		10	Non	Oui	Parking//Tableau blanc//Paper board//Rétroprojecteur
L'atelier - Espace de coworking à Tours	L’atelier, 1er espace de coworking à Tours, est situé à 2 minutes à pied de la gare TGV et à 1 minute de la place Jean Jaurès. Il peut accueillir jusqu’à 20 travailleurs. L’espace comprend également, une salle de réunion de 8 à 10 personnes, une imprimante A3/A4, une cuisine partagée avec boissons chaudes offertes et un jardin.Nos services:Location de bureau à la journéeLocation de bureau à la semaineLocation de bureau au moisLocation de salle de réunionService de domiciliation d’entrepriseService d’impressionCuisine partagée et salle de détenteInternet fibre illimitéService d'entretien	6 rue d'entraigues, 37000 Tours	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7239/coworking-tours-l-atelier-espace-de-coworking-a-tours	Internet haut débit//Espace extérieur//Cuisine	9h00 - 18h00	Coworking	150	121	Non	Oui	Casier//Imprimante 0.2€/unité
Start-Way Limonest (Lyon Ouest)	Espace de coworking à Limonest à l'ouest de Lyon installé au sein du siège social d'un grand groupe français. L'espace occupe 1300m2 d'un magnifique bâtiment primé à de nombreux concours architecturaux. Sur place terrasse, espaces extérieurs, restaurant d'entreprise, espace de conférence et réunion, bureaux privatifs et partagés, parking vélo et voiture. L'espace de coworking se situe à Limonest à l'ouest de Lyon dans une zone d'activité en plein essor dans laquelle de nombreux grands groupes nationaux et internationaux ont installé leur antenne régionale. L'environnement est arboré et propose un cadre de vie très attractif avec de nombreuses habitations de qualité, des commerces et services à la personne. L'autoroute du soleil est à proximité immédiate de l'immeuble	81 rue du Sans Souci, 69760 Limonest	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7887/coworking-limonest-start-way-limonest-lyon-ouest	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Coworking	1300	196	Non	Oui	Paper board//Vidéo-projecteur//Équipement de cuisine//Courrier//Pause petit déjeuner 8.95€/unité//Parking 120€/mois//Forfait illimité avec telephone cisco 66€/mois//Domiciliation simple 55€/mois
LES BUREAUX VERTS	Bureaux individuels de 15 à 25m2, câblés, climatisés, alarme individuelle, entièrement rénovés dans petit parc de bureaux arboré, situés dans l’Ouest Lyonnais. de 15 à 25 m2 avec place de parking privative extérieure.Vous cherchez à louer des bureaux à Tassin (à proximité de Lyon) dans l’Ouest lyonnais ? Vous êtes une entreprise récemment créée et souhaitez optimiser vos coûts immobiliers ? Vous recherchez une flexibilité de durée et une souplesse de location ? Découvrez nos installations à TASSIN qui disposent d'espaces de travail entièrement rénovés.	14A, rue du Professeur DEPERET, 69160 Tassin la Demi-Lune	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4831/centre-d-affaires-tassin-la-demi-lune-les-bureaux-verts		9h00 - 18h00	Centre d'affaires		14	Non	Oui	Parking 1€/heure//Domiciliation 30€/mois
Regus Orléans - Coligny	Immeuble moderne cité au cœur de la ville, à quelques minutes de la gare SNCF et desservi également par le tramway.	4, passage de la Râpe - Immeuble Val de Loire, 45000 Orléans	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8305/centre-d-affaires-orleans-regus-orleans-coligny	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
ESPACE FLORENTIN	7 Bureaux	59 chemin du moulin CARRON, 69570 DARDILLY	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5195/centre-d-affaires-dardilly-espace-florentin	Internet haut débit	8h30 - 18h00	Centre d'affaires		47	Non	Oui	Parking//Périphériques informatiques//Tableau//Équipement de cuisine//Boisson chaude 0.5€/unité//Boissons fraîches 0.8€/unité//Photocopieur 0.15€/unité//Scanner 0.1€/unité//Vidéo-projecteur 110€/unité
La Coworquie	La Coworquie c'est une multitude d'espaces de travail :- Open-space- Bureaux partagés ou individuels- Salles de réunions- Privatisation de l’espace pour recevoir vos clientsMais également :- Internet haut-débit illimité- Imprimantes multi-fonctions- Un espace café- Une cuisine tout équipée- Un espace extérieur- Un accès 24h/7jNos petits + :- Un petit-déjeuner tous les lundis matin - Des évènements et animations tout au long de la semaine- Pouvoir échanger avec une communauté de travailleurs de tous métiersContact :La CoworquieBoulevard du Pilat69440 - Mornant06 75 65 02 06hello@la-coworquie.org - www.la-coworquie.org	Boulevard du Pilat, 69440 Mornant	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6205/coworking-mornant-la-coworquie	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 0h	Coworking	230	73	Oui	Oui	Café et thé en libre-service//Imprimante multifonctions//Parking privé//Scanner//Paperboards//Écran//Équipement de cuisine
Le Taf Café	Pour tous les gens qui ont des trucs à faire ! Le TAF Café est un espace calme et cosy pour travailler, étudier, rencontrer, échanger ou même chiller ! Pas besoin de réserver ! Ici, on paie au temps passé, et tout le reste : wifi, café, thé, gâteaux, snacks...est en libre service.Comme il est souvent difficile de travailler de façon isolée, nous avons souhaité développer un tiers-lieu, qui n’est ni la maison, ni le bureau, mais un espace de travail optimal pour les indépendants, porteurs de projets ou petites entreprises.Plus qu’un espace où l’on vient travailler, c’est un endroit où l’on a la possibilité d’échanger avec des personnes rencontrant les mêmes problématiques que soi.C’est également la possibilité de trouver un endroit proche de chez soi, dans le centre-ville de Bergerac, qui vous évite de travailler à domicile, et permet donc plus facilement de séparer la vie personnelle, ce qui n’est pas toujours évident lorsqu’on est indépendant.Parfaitement accessible aux personnes à mobilité réduite ou en situation de handicap.	9 rue de la Résistance, 24100 Bergerac	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6489/coworking-bergerac-le-taf-cafe	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	9h00 - 19h00	Coworking	460	318	Non	Oui	Box de confidentialité//Périphériques informatiques//Scanner//Tableaux//Vestiaire//Vidéo-projecteur//Visio-conférence//Équipement de cuisine//Activité//Domiciliation//Formation//Prestations administratives//Thé ou café 0.91€/unité//Repas complet végétarien 10.91€/unité//Un petit creux 1.82€/unité 1.36€/unité 3.45€/unité//Petit déj' 4.55€/unité//Imprimante 0.04€/unité 0.17€/unité
MIX Coworking Ecully	Vous cherchez un bureau dans l'Ouest Lyonnais ? Vous êtes : indépendant , en télétravail ou une petite structure? Au MIX d’Ecully, nous avons ce qu’il vous faut !Des bureaux lumineux et chaleureux au design scandinave. Des bureaux clés en main qui vous permettent de vous consacrer à développer votre activité. Le MIX d’Ecully ce sont 5 bureaux fermés et privatifs : trois bureaux de deux, un bureau de trois et un bureau de cinq. Les bureaux peuvent être partagés avec d’autres personnes. L’espace accueille ainsi 14 personnes. Et plus qu’un bureau c’est aussi rejoindre la communauté du MIX avec de la convivialité, de l’entraide, du réseau !	62 Avenue du Pr Paul Santy, 69130 Ecully	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7525/coworking-ecully-mix-coworking-ecully	Internet haut débit//Cuisine//Climatisation	6h00 - 23h30	Coworking	150	5	Oui	Oui	Inclus//Scanner//Tableaux//Vidéo-projecteur//Équipement de cuisine//Formule déjeuner assis 16€/unité//Déjeuner assis : déjeuner complet 20€/unité//Pause gourmande 5€/unité//Petit-déjeuner 5€/unité//Impressions & scan 0.05€/unité 0.1€/unité
MIX Coworking	MIX est un coworking, un espace de travail professionnel et collaboratif, situé sur l’ouest lyonnais dans le centre de Tassin la demi lune, à deux pas de l’horloge !Vous pourrez y trouver un bureau pour travailler, un espace convivial, 2 Call box, 3 salles de rendez-vous et une salle de réunion disponibles à la location. Mais bien plus qu’un bureau, vous pourrez rencontrer une communauté, développer votre réseau, enrichir vos compétences, et booster votre business !	4/6 Avenue Joannes Hubert, 69160 Tassin-la-Demi-Lune	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5177/coworking-tassin-la-demi-lune-mix-coworking	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	8h00 - 20h00	Coworking	200	87	Oui	Oui	Table de réunion//Thé et café à volonté//Box de confidentialité//Box de confidentialité//Casiers personnels et sécurisés//Imprimante//Scanner//Scanner//Scanner//Paper-board//Tableaux//Tableaux//Vestiaire//Vidéo-projecteur//Vidéo-projecteur//Vidéo-projecteur//Écran//Vaisselle à disposition//Équipement de cuisine//Accueil dédié//Gestion du courrier//Mise en place de la salle//Imprimante 0.05€/unité//Domiciliation d'entreprise 30€/mois//Domiciliation 30€/mois//Des ateliers pour enrichir ses compétences 12€/unité
Centre d'Affaires Lyon Monts d'Or	Le Centre d'Affaires Lyon Monts d'Or est un lieu professionnel mis en place pour l’épanouissement des entreprises qui permet de recevoir, à plus ou moins long terme, des utilisateurs de bureaux équipés et de salles de conférence à Lyon.Situé dans un écrin de verdure avec vue sur la basilique de Fourvière, facile d'accès avec un parking privé, le Centre d'Affaires Lyon Monts d'Or est une adresse prestigieuse, économiquement accessible, l'endroit idéal pour accompagner les indépendants et petites et moyennes entreprises dans la gestion quotidienne et événementielle de leur activité. Le Centre d'affaires Lyon Mont d'Or est agrémenté pour la domiciliation des entreprises par le Préfet du Rhône sous le N°2012-21 le 21 novembre 2012.	1 RUE CLAUDE CHAPPE, 69370 Saint didier au mont d or	https://www.neo-nomade.com/mb-47-bnpp_re/espace/2407/centre-d-affaires-saint-didier-au-mont-d-or-centre-d-affaires-lyon-monts-d-or	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 18h00	Centre d'affaires	1500	66	Non	Oui	Espace café / lounge//Gestion du courrier//Accès 24/7//Accès 24/7//Téléphones fixe 30€/unité//Secrétariat téléphonique 59€/unité
OCW Coworking	2 Espaces partagés	37, rue Bovier Lapierre, 69530 BRIGNAIS	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6995/coworking-brignais-ocw-coworking	Internet haut débit//Accès handicapé//Espace pause//Espace extérieur//Cuisine//Climatisation	24h/24	Coworking		98	Oui	Oui	Casier//Imprimante//Vestiaire//Visio-conférence//Équipement de cuisine//Prestations administratives//Salle d'eau//Parking 1€/heure//Domiciliation 35€/unité
Kikbox Niort	Kikbox est un centre d'affaires.Nous louons des bureaux et salles de réunion ainsi que de la domiciliation d'entreprise.Nos locations sont libres, sans engagement , ni préavis de durée.Location à l'heure, la demi journée, journée, semaineInternet : Wifi ou Ethernet (fibre optique)Pour les salles de réunion : Service petit-déjeuner : café, thé, viennoiserie, jus d’orangeLocation de vidéoprojecteur , Possibilité de plateaux repas,Pour les bureaux :Forfait ménage intégré au tarif : corbeilles papier, aspirateur, serpillière….A noter : - Pas de surplus pour la taxe foncière- Pas de surplus pour l’électricité- Pas de surplus pour l’usage des sanitaires	37 rue Saint Symphorien, 79000 Niort	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4013/centre-d-affaires-niort-kikbox-niort	Internet haut débit	8h30 - 18h00	Centre d'affaires		37	Non	Oui	Rangements sécurisés//Paperboard//Téléphones fixe//Vidéo projecteur//Accueil dédié//Gestion du courrier
Regus Lyon - Vaise Verrazzano	Immeuble moderne situé au cœur du Campus Verrazzano, également connu localement comme 'Les Péniches' sur les quais de la Saône, de l'autoroute A6 et du périphérique lyonnais. Environnement de qualité avec services, hôtesses d'accueil et parkings en sous-sol.	3, Place Giovanni de Verrazzano - Immeuble Campus Verrazzano, 69009 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8347/centre-d-affaires-lyon-regus-lyon-vaise-verrazzano	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
